"commit_hash","commit_date","author","subject"
"4a252761df26352c9c6a7a085e9ab863d881e68c","2023-03-05T15:54:30-05:00","TimRudy","Update README.md and add tests/README.md"
"453e51c2eae7aa82e6eaacc436e734d5b44ba34f","2023-01-03T23:50:37-05:00","TimRudy","Fix edge case bug in the transition from stop to start"
"5b8197bb48b48aa9018b74f6d842a821bf95671a","2023-01-02T12:41:17-05:00","TimRudy","Fix err output during the transition to start"
"627ce97662242f72842698000d9af1a46cce2a6c","2023-01-02T12:32:59-05:00","TimRudy","Fix sampling to be in the exact middle of start signal"
"356e3269ecb04bb1d19970ee2570964c18523222","2022-12-22T15:20:46-05:00","TimRudy","Add stronger condition to recognize start"
"64044831a3f8b6f118ff0a7995a0dddb28250304","2022-12-18T17:50:24-05:00","TimRudy","Improve the code by using shift register, not indexed access"
"fc64e750554c76dce13328e3e411f1deb5157c9c","2022-12-18T17:41:04-05:00","TimRudy","Simplify because one state variable not actually needed"
"a6324c644988664aaae60ac2f51c9fed7720fcaa","2022-12-18T13:01:46-05:00","TimRudy","Reorder variables"
"8352345541216661f591fc4fc763969519578904","2022-12-10T20:25:33-05:00","TimRudy","Add test benches and fix bugs"
"f35f66bc1d333ff21116d09e5224f3678e6b5a46","2022-12-09T00:59:58-05:00","TimRudy","Simplify code where there is wrap-around"
"85f00855f66e79999ced68e68dfc8260c55c7899","2022-12-09T00:31:41-05:00","TimRudy","Add test benches and fix bugs"
"bd2ffdb9fb90e61c0833355aeef2f69c62185820","2022-10-24T21:38:48-04:00","TimRudy","Reduce time to recognize start in IDLE"
"857af15ac579268cee37f841b55edcd4aa42fbdc","2022-10-23T18:36:18-04:00","TimRudy","Add test benches and fix bugs"
"7bf61a942f41725da23bc11a4481bf6b837ec664","2022-12-06T00:56:09-05:00","Tim Rudy","Change variable naming convention"
"b75e5e4a30f3cf074642f6fd1e5fda323d73ba3b","2022-12-06T00:55:23-05:00","Tim Rudy","Initial files"
